Agent:,Mean:,Std. deviation:,MaxMinN-Mean:,MaxMinN-SE:,Winrate:,Winrate-SE:,Mean tick:,Actions entropy:
Explorer,15.356667,30.527227,0.82953554,0.007155021,0.101111114,0.007105853,188.5239,0.9796231
MCTS,5.7644444,10.477381,0.50523853,0.007608673,0.03888889,0.004556835,192.26222,0.9954249
GA,4.7611113,7.901889,0.50041634,0.008543579,0.018888889,0.0032086773,187.29388,0.8318064
Onestep-S,7.1716666,16.546799,0.46033794,0.007895146,0.016111111,0.00296756,166.82834,0.978002
Onestep-H,-2.77,22.762943,0.29854026,0.0074986815,0.055555556,0.0053990297,171.77722,0.2631847
Random,3.0183334,7.688791,0.31356964,0.0074539343,0.0033333334,0.0013585577,150.64333,0.99969196
DoNothing,-1.4444444,5.026027,0.1630472,0.0071972446,0,0,185.44444,0
