Agent:,Mean:,Std. deviation:,MaxMinN-Mean:,MaxMinN-SE:,Winrate:,Winrate-SE:,Mean tick:,Actions entropy:
Explorer,45.22329,203.7094,0.8048578,0.006081543,0.07363014,0.004833131,184.29453,0.9490945
MCTS,24.138355,168.33011,0.449458,0.006389936,0.026712328,0.0029839056,191.70035,0.995682
GA,26.129795,170.08368,0.45449957,0.006894588,0.022602739,0.0027505825,187.75616,0.8179402
Onestep-S,30.209246,156.71106,0.4200388,0.006474496,0.013013699,0.002097319,172.44897,0.946596
Onestep-H,10.870891,147.3789,0.30374247,0.006410398,0.08630137,0.005196595,171.31027,0.23756298
Random,17.466782,176.03566,0.2566556,0.0055018254,0.012671233,0.002069898,158.50206,0.99780846
DoNothing,13.594178,159.16237,0.18890631,0.006005817,0.006849315,0.0015262994,180.42809,0
