Agent:,Mean:,Std. deviation:,MaxMinN-Mean:,MaxMinN-SE:,Winrate:,Winrate-SE:,Mean tick:,Actions entropy:
Explorer,15.938889,32.645405,0.79756325,0.024481583,0.1388889,0.025776688,185.0389,0.97883075
MCTS,5.638889,10.482101,0.48409158,0.022609508,0.033333335,0.01337955,191.51666,0.9939912
GA,5.288889,8.593546,0.53585976,0.026890691,0.03888889,0.014409979,183.73889,0.83626324
Onestep-S,6.811111,16.797775,0.4066844,0.023836577,0.011111111,0.007812971,165.99445,0.980852
Onestep-H,1.5888889,4.6698713,0.2879458,0.02310961,0.055555556,0.01707323,172.97778,0.24993461
Random,2.6388888,7.892974,0.27155256,0.021082275,0.0055555557,0.0055401023,146.48889,0.99669594
DoNothing,-0.5555556,1.7440152,0.2017313,0.023796847,0,0,183.05556,0
